Open,High,Low,Close,Volume,Dividends,Stock Splits,time,time_str,loc_index,unix_time,Mid
65944.328125,65960.328125,65914.765625,65960.328125,0,0.0,0.0,2024-07-24 00:00:00+00:00,00-00,0,1721779200.0,65937.546875
65979.828125,66002.625,65979.828125,65999.7109375,0,0.0,0.0,2024-07-24 00:05:00+00:00,00-05,1,1721779500.0,65991.2265625
66006.8671875,66109.0234375,66006.8671875,66055.75,43724800,0.0,0.0,2024-07-24 00:10:00+00:00,00-10,2,1721779800.0,66057.9453125
66045.40625,66045.40625,66007.8359375,66007.8359375,0,0.0,0.0,2024-07-24 00:15:00+00:00,00-15,3,1721780100.0,66026.62109375
66046.625,66046.625,65999.8125,66005.453125,0,0.0,0.0,2024-07-24 00:20:00+00:00,00-20,4,1721780400.0,66023.21875
65996.984375,65996.984375,65930.8828125,65949.5625,0,0.0,0.0,2024-07-24 00:25:00+00:00,00-25,5,1721780700.0,65963.93359375
65966.6015625,65966.6015625,65877.65625,65877.65625,0,0.0,0.0,2024-07-24 00:30:00+00:00,00-30,6,1721781000.0,65922.12890625
65853.4140625,65855.03125,65832.5390625,65832.5390625,2007040,0.0,0.0,2024-07-24 00:35:00+00:00,00-35,7,1721781300.0,65843.78515625
65843.8828125,65860.828125,65820.7734375,65823.859375,4759552,0.0,0.0,2024-07-24 00:40:00+00:00,00-40,8,1721781600.0,65840.80078125
65820.1328125,65854.2265625,65820.1328125,65824.8984375,0,0.0,0.0,2024-07-24 00:45:00+00:00,00-45,9,1721781900.0,65837.1796875
65834.9375,65834.9375,65803.2578125,65810.2421875,0,0.0,0.0,2024-07-24 00:50:00+00:00,00-50,10,1721782200.0,65819.09765625
65825.09375,65825.09375,65791.7421875,65791.7421875,8953856,0.0,0.0,2024-07-24 00:55:00+00:00,00-55,11,1721782500.0,65808.41796875
65789.1328125,65885.0234375,65789.1328125,65878.828125,0,0.0,0.0,2024-07-24 01:00:00+00:00,01-00,12,1721782800.0,65837.078125
65927.4453125,65970.078125,65872.171875,65872.171875,0,0.0,0.0,2024-07-24 01:05:00+00:00,01-05,13,1721783100.0,65921.125
65880.203125,65910.0390625,65872.4765625,65872.4765625,0,0.0,0.0,2024-07-24 01:10:00+00:00,01-10,14,1721783400.0,65891.2578125
65870.3046875,65877.125,65870.3046875,65873.8671875,0,0.0,0.0,2024-07-24 01:15:00+00:00,01-15,15,1721783700.0,65873.71484375
